filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20230513_165439386_BURST0003_jpg.rf.c7b2bc683416e75e9f208c886c038112.jpg,640,640,cola,175,103,378,558
IMG_20230513_165003143_BURST0001_COVER_jpg.rf.567876abc97e96149b1c6f6c628db1ae.jpg,640,640,cola,217,105,345,414
IMG_20230513_165340889_BURST0011_jpg.rf.52c4f569aefe688ec953089d46af6900.jpg,640,640,cola,252,34,474,478
IMG_20230106_172130_Burst05_jpg.rf.765fefd6bdd8066c838c2e0410534fd8.jpg,640,640,cola,185,157,407,596
IMG_20230513_165556202_BURST0013_jpg.rf.f5c47d5eac2e41d1f413d0752abec914.jpg,640,640,cola,145,86,324,447
IMG_20230513_165523462_BURST0002_jpg.rf.0036a3b5c58920a14a43cdfc0cac2ca2.jpg,640,640,cola,333,88,474,407
IMG_20230513_164905242_BURST0004_jpg.rf.4946a4de2d5b6f25fe89a30fc736e508.jpg,640,640,cola,284,171,430,445
IMG_20230513_165408511_BURST0007_jpg.rf.4cf68bf83aa4b5f02761d9da0ee950b5.jpg,640,640,cola,313,174,480,539
IMG_20230106_171230_Burst04_jpg.rf.c13c65a74e097aca91b27106b86eae6a.jpg,640,640,cola,200,145,427,593
IMG_20230513_165340889_BURST0010_jpg.rf.f3b086663a529f344d8ecea80c720fad.jpg,640,640,cola,184,152,381,607
IMG_20230513_164838321_BURST0009_jpg.rf.f28ddd23fa8f4b1792dc6a25cf33220b.jpg,640,640,cola,230,123,402,516
IMG_20230513_165556202_BURST0001_COVER_jpg.rf.7ba0c43fb0bb9a1a8dd2f6699e9f8f4e.jpg,640,640,cola,293,97,452,427
IMG_20230106_171219_Burst16_jpg.rf.53a034e5035e0109aba742d34d86a5c0.jpg,640,640,cola,241,111,462,640
IMG_20230513_165245740_BURST0001_COVER_jpg.rf.0355ad187ef5d2222afd28e86c39b3d0.jpg,640,640,cola,280,227,406,495
IMG_20230106_171931_Burst17_jpg.rf.8ec8b0781b4e71d4c11fe89a1be082ef.jpg,640,640,cola,255,134,466,607
IMG_20230106_172147_Burst16_jpg.rf.6e44fcf8660dcb2acc654f2b2124b132.jpg,640,640,cola,231,166,439,640
IMG_20230513_165340889_BURST0002_jpg.rf.0f7773a3a8dfea467b8f8bb0b61e21ff.jpg,640,640,cola,156,185,370,608
IMG_20230513_165147821_BURST0003_jpg.rf.bf550a2f864a8aaeb197de2e7cc15755.jpg,640,640,cola,327,205,449,502
IMG_20230513_165556202_BURST0003_jpg.rf.3e64965b6fbc958f66b17a5ad524aaa3.jpg,640,640,cola,170,26,341,379
IMG_20230513_165556202_BURST0012_jpg.rf.ba150b0724ed0d9cab1c8a7d81459e25.jpg,640,640,cola,189,238,330,557
IMG_20230513_165408511_BURST0009_jpg.rf.5aab898b1301e6f7f1529b719cbdeddf.jpg,640,640,cola,288,111,424,458
IMG_20230106_172357_Burst10_jpg.rf.34989d58e39c69f3801ffcb467dc96fd.jpg,640,640,cola,244,8,445,475
IMG_20230106_172243_Burst06_jpg.rf.59ee0e4f5f58a072307efe5ba585d8e4.jpg,640,640,cola,185,78,443,599
IMG_20230513_165205273_BURST0005_jpg.rf.f0cba67f3c6da94f161fbc9a5f5c3b60.jpg,640,640,cola,262,148,354,377
IMG_20230106_172243_Burst01_jpg.rf.e1ea77bd962fa7e77e4764f9f48e73e3.jpg,640,640,cola,208,52,436,574
IMG_20230106_172439_Burst02_jpg.rf.349b20a015604f9df13f7b0259561d24.jpg,640,640,cola,257,66,407,512
IMG_20230513_165439386_BURST0002_jpg.rf.ec9e19be844d24d4e85984cb32e44e8d.jpg,640,640,cola,175,89,355,562
